Days,Open,High,Low,Close,Volume
5838.0,5.99500,6.00850,5.89525,5.92175,254644000
5841.0,5.89975,5.90500,5.77650,5.80800,258056000
5842.0,5.77250,5.89200,5.75325,5.88250,231004000
5844.0,5.96875,5.99775,5.91800,5.99775,237536000
5845.0,5.87750,5.94575,5.85250,5.90175,205384000
5848.0,5.80800,5.93175,5.78175,5.92650,262636000
5849.0,5.95500,6.04425,5.90975,5.99825,314856000
5850.0,5.99400,6.05100,5.95375,6.00950,277108000
5851.0,6.09625,6.14825,6.02150,6.07550,255112000
5852.0,6.18325,6.21375,6.09375,6.10800,316296000
5855.0,6.19150,6.32475,6.16875,6.29950,319840000
5856.0,6.25650,6.28200,6.16875,6.18200,359088000
5857.0,6.19475,6.21725,6.11325,6.13925,263104000
5858.0,6.19300,6.22925,6.16950,6.22325,284192000
5859.0,6.24250,6.25000,6.18425,6.23200,253792000
5863.0,6.19525,6.23225,6.16425,6.19850,217916000
5864.0,6.24400,6.33975,6.22500,6.25275,239240000
5865.0,6.29300,6.33000,6.20375,6.32150,244516000
5866.0,6.43750,6.48750,6.20750,6.26200,373512000
5869.0,5.95600,6.05625,5.80575,6.00500,470536000
5870.0,6.07125,6.23175,6.01775,6.19925,310976000
5871.0,6.18475,6.22100,6.09850,6.13850,258848000
5872.0,6.04025,6.15875,5.98500,6.14525,290504000
5873.0,6.09925,6.11125,5.86875,5.91075,370420000
5876.0,5.89250,6.02775,5.88625,6.00825,255564000
5877.0,6.15075,6.19750,6.10050,6.17825,271544000
5878.0,6.29975,6.31000,6.18525,6.26900,208220000
5879.0,6.30350,6.35625,6.22200,6.35625,218284000
5880.0,6.31600,6.33825,6.26425,6.28975,189752000
5883.0,6.31250,6.57500,6.30750,6.57425,529608000
5884.0,6.68300,6.81250,6.62075,6.69725,638556000
5885.0,6.75025,6.82000,6.71125,6.81350,374644000
5886.0,6.75525,6.83700,6.72775,6.76950,528016000
5887.0,7.18150,7.37425,7.15000,7.24475,1041924000
5891.0,7.14100,7.43275,7.12150,7.41425,620164000
5892.0,7.53725,7.88525,7.53725,7.86750,694332000
5893.0,7.81925,7.90800,7.40875,7.71750,810052000
5894.0,7.60475,7.63000,7.26650,7.35175,768180000
5897.0,6.75475,7.04675,6.70000,6.83200,856916000
5898.0,6.90750,6.96975,6.44900,6.55125,1055496000
5899.0,6.55150,6.88625,6.55000,6.69125,747732000
5900.0,6.37250,6.67500,6.22225,6.31500,906416000
5901.0,6.06150,6.81150,6.04475,6.75175,1133252000
5904.0,6.92250,6.93975,6.52500,6.91075,890744000
5905.0,6.96675,7.02675,6.56150,6.64725,652792000
5906.0,6.75500,7.12225,6.68000,7.11275,597408000
5907.0,6.9125,7.08000,6.78750,6.83225,540328000
5908.0,6.6520,6.70975,6.45000,6.65100,515412000
5911.0,5.9975,6.48500,5.95450,6.13600,614160000
5912.0,6.4135,6.52700,6.14975,6.52700,580648000
5913.0,6.3865,6.41500,6.06425,6.16175,499964000
5914.0,5.63650,5.9030,5.39500,5.40775,816540000
5915.0,5.76250,6.0255,5.49025,6.02100,634836000
5918.0,5.31025,5.6525,4.85000,4.91000,726972000
5919.0,5.02275,5.5215,4.77500,5.43175,833632000
5920.0,5.00250,5.2485,4.51700,5.07050,874268000
5921.0,5.04900,5.41825,4.83475,5.32425,765512000
5922.0,5.47500,5.75800,5.12825,5.14375,804636000
5925.0,5.14275,5.41200,4.96300,5.31725,643876000
5926.0,5.72500,6.31650,5.70125,6.22950,1101644000
5927.0,6.34500,6.54550,6.09150,6.14050,793432000
5928.0,6.34850,6.55550,6.25000,6.43100,696108000
